second,phase,success_200,http_503,http_403,other_5xx,unexpected_200,protected_bytes_returned,mean_latency_ms,p50_latency_ms,p95_latency_ms
0,pre_outage,96,0,0,0,0,0,984.667,1068,1749
1,pre_outage,47,0,0,0,0,0,4001.681,4218,4313
2,pre_outage,0,0,0,0,0,0,0,0,0
3,pre_outage,8,0,0,0,0,0,2218.250,2218,2237
4,pre_outage,0,0,0,0,0,0,0,0,0
5,pre_outage,14,0,0,0,0,0,2659.500,2062,4140
6,pre_outage,37,0,0,0,0,0,3992.054,4107,4152
7,pre_outage,0,0,0,0,0,0,0,0,0
8,pre_outage,10,0,0,0,0,0,2125.400,2122,2144
9,pre_outage,0,0,0,0,0,0,0,0,0
10,pre_outage,59,0,0,0,0,0,3231.000,4128,4158
11,pre_outage,0,0,0,0,0,0,0,0,0
12,pre_outage,9,0,0,0,0,0,2357.556,2128,4161
13,pre_outage,0,0,0,0,0,0,0,0,0
14,pre_outage,49,0,0,0,0,0,4009.980,4181,4208
15,pre_outage,0,0,0,0,0,0,0,0,0
16,pre_outage,4,0,0,0,0,0,2140.500,2127,2160
17,pre_outage,0,0,0,0,0,0,0,0,0
18,pre_outage,51,0,0,0,0,0,3992.922,4152,4194
19,pre_outage,0,0,0,0,0,0,0,0,0
20,pre_outage,2,0,0,0,0,0,2144.500,2135,2154
21,pre_outage,0,0,0,0,0,0,0,0,0
22,pre_outage,55,0,0,0,0,0,3465.927,4125,4179
23,pre_outage,0,0,0,0,0,0,0,0,0
24,pre_outage,8,0,0,0,0,0,2130.250,2128,2149
25,pre_outage,0,0,0,0,0,0,0,0,0
26,pre_outage,2,48,0,0,0,0,4127.400,4289,4310
27,pre_outage,0,0,0,0,0,0,0,0,0
28,pre_outage,0,2,0,0,0,0,2247.000,2241,2253
29,pre_outage,0,0,0,0,0,0,0,0,0
30,outage,0,7,0,0,0,0,1448.429,1509,1552
31,outage,0,44,0,0,0,0,1806.114,2002,2992
32,outage,0,24,0,0,0,0,1594.083,1961,2018
33,outage,0,30,0,0,0,0,1760.567,2006,2032
34,outage,0,25,0,0,0,0,1342.280,1048,2042
35,outage,0,42,0,0,0,0,1647.786,1967,2013
36,outage,0,26,0,0,0,0,1865.808,1984,2038
37,outage,0,25,0,0,0,0,1471.040,1070,2036
38,outage,0,39,0,0,0,0,1726.487,1983,2011
39,outage,0,24,0,0,0,0,1638.708,1552,2052
40,outage,0,33,0,0,0,0,1549.515,1084,2057
41,outage,0,33,0,0,0,0,1764.000,1962,2025
42,outage,0,24,0,0,0,0,1460.208,1073,1999
43,outage,0,40,0,0,0,0,1843.850,1983,2007
44,outage,0,15,0,0,0,0,1701.000,1987,2972
45,outage,0,40,0,0,0,0,1650.225,1987,2025
46,outage,0,24,0,0,0,0,1856.917,1976,2012
47,outage,0,29,0,0,0,0,1318.310,1061,2038
48,outage,0,43,0,0,0,0,1841.395,1984,1996
49,outage,0,15,0,0,0,0,1560.733,1530,2005
50,outage,0,41,0,0,0,0,1648.659,1959,2022
51,outage,0,26,0,0,0,0,1838.923,1942,2033
52,outage,0,27,0,0,0,0,1619.815,1537,2027
53,outage,0,34,0,0,0,0,1708.000,1972,3013
54,outage,0,27,0,0,0,0,1595.815,1977,2018
55,outage,0,33,0,0,0,0,1756.515,1969,2477
56,outage,0,24,0,0,0,0,1673.042,1536,3016
57,outage,0,40,0,0,0,0,1711.475,1958,2485
58,outage,0,19,0,0,0,0,1449.895,1067,3026
59,outage,0,40,0,0,0,0,1648.800,1945,2022
60,outage,0,26,0,0,0,0,1865.692,1996,3009
61,outage,0,27,0,0,0,0,1612.222,1994,2976
62,outage,0,33,0,0,0,0,1664.455,1972,2064
63,outage,0,29,0,0,0,0,1571.241,1994,2028
64,outage,0,32,0,0,0,0,1704.313,2002,2018
65,outage,0,27,0,0,0,0,1579.852,1956,2023
66,outage,0,36,0,0,0,0,1527.000,1502,2041
67,outage,0,31,0,0,0,0,1829.516,1974,2018
68,outage,0,25,0,0,0,0,1688.000,1974,2020
69,outage,0,33,0,0,0,0,1576.303,1957,1998
70,outage,0,30,0,0,0,0,1912.700,1973,2482
71,outage,0,26,0,0,0,0,1671.769,1524,2072
72,outage,0,39,0,0,0,0,1486.128,1505,2014
73,outage,0,24,0,0,0,0,1849.625,1946,2017
74,outage,0,29,0,0,0,0,1642.931,1494,3020
75,post_recovery,0,34,0,0,0,0,1669.912,1957,2479
76,post_recovery,0,27,0,0,0,0,1674.593,1982,2011
77,post_recovery,0,33,0,0,0,0,1725.182,1987,2442
78,post_recovery,0,25,0,0,0,0,1624.920,1997,2031
79,post_recovery,0,35,0,0,0,0,1710.029,1965,2482
80,post_recovery,0,24,0,0,0,0,1801.750,1995,2040
81,post_recovery,0,34,0,0,0,0,1730.412,1980,2512
82,post_recovery,0,24,0,0,0,0,1980.333,1999,2511
83,post_recovery,0,26,0,0,0,0,1386.346,1083,2530
84,post_recovery,0,41,0,0,0,0,1724.927,1948,2016
85,post_recovery,0,22,0,0,0,0,1510.045,1498,2016
86,post_recovery,0,36,0,0,0,0,1748.667,1995,2022
87,post_recovery,0,26,0,0,0,0,1592.385,1510,2016
88,post_recovery,0,33,0,0,0,0,1524.727,1522,2017
89,post_recovery,0,34,0,0,0,0,1646.294,1944,2012
90,post_recovery,0,27,0,0,0,0,1767.037,2009,2511
91,post_recovery,0,31,0,0,0,0,1681.774,1539,2039
92,post_recovery,0,27,0,0,0,0,1751.630,2003,2058
93,post_recovery,0,26,0,0,0,0,1751.423,1957,2482
94,post_recovery,0,33,0,0,0,0,1744.818,2006,3003
95,post_recovery,2,25,0,0,0,0,1494.963,1475,2552
96,post_recovery,33,6,0,0,0,0,1712.949,2006,2034
97,post_recovery,15,0,0,0,0,0,1217.067,1037,1992
98,post_recovery,50,0,0,0,0,0,1782.160,1955,3001
99,post_recovery,10,0,0,0,0,0,1412.600,1488,1991
100,post_recovery,44,0,0,0,0,0,1595.455,1509,2023
101,post_recovery,31,0,0,0,0,0,1756.806,1975,2541
102,post_recovery,29,0,0,0,0,0,1629.172,1989,2028
103,post_recovery,26,0,0,0,0,0,1876.846,2001,2022
104,post_recovery,27,0,0,0,0,0,1572.704,1516,2032
105,post_recovery,37,0,0,0,0,0,1697.459,1980,2015
106,post_recovery,22,0,0,0,0,0,1795.182,1539,2971
107,post_recovery,32,0,0,0,0,0,1575.781,1503,2485
108,post_recovery,36,0,0,0,0,0,1708.306,1957,2473
109,post_recovery,23,0,0,0,0,0,1714.826,1973,2016
110,post_recovery,33,0,0,0,0,0,1501.636,1541,2039
111,post_recovery,36,0,0,0,0,0,1719.111,1979,2949
112,post_recovery,28,0,0,0,0,0,1906.857,1978,2509
113,post_recovery,26,0,0,0,0,0,1516.692,1514,2034
114,post_recovery,30,0,0,0,0,0,1468.867,1094,2019
115,post_recovery,37,0,0,0,0,0,1965.432,1989,2510
116,post_recovery,23,0,0,0,0,0,1665.435,1541,2026
117,post_recovery,23,0,0,0,0,0,1297.957,1062,1985
118,post_recovery,44,0,0,0,0,0,1715.455,1532,2018
119,post_recovery,22,0,0,0,0,0,1577.864,1987,1996
120,post_recovery,38,0,0,0,0,0,1866.026,1981,2554
121,post_recovery,22,0,0,0,0,0,2642.636,2018,4109
122,post_recovery,28,0,0,0,0,0,3072.036,3126,3153
123,post_recovery,16,0,0,0,0,0,2892.063,2131,4179
124,post_recovery,0,0,0,0,0,0,0,0,0
125,post_recovery,44,0,0,0,0,0,3768.045,4139,4164
126,post_recovery,0,0,0,0,0,0,0,0,0
127,post_recovery,16,0,0,0,0,0,3384.000,4141,4169
128,post_recovery,0,0,0,0,0,0,0,0,0
129,post_recovery,32,0,0,0,0,0,3507.406,4149,4177
130,post_recovery,7,0,0,0,0,0,3845.857,4145,4153
131,post_recovery,0,0,0,0,0,0,0,0,0
132,post_recovery,21,0,0,0,0,0,2685.619,2096,4183
133,post_recovery,0,0,0,0,0,0,0,0,0
134,post_recovery,45,0,0,0,0,0,3248.289,4139,4182
